OMEGA,AMPL
1.000000000000000000e+00,8.325209112399353795e-02
9.999900000000000455e-01,8.340705375085379070e-02
9.999800000000000910e-01,8.356266582132737541e-02
9.999700000000001365e-01,8.371886778390580375e-02
9.999600000000001820e-01,8.387566278924413199e-02
9.999500000000002276e-01,8.403305443589877133e-02
9.999400000000002731e-01,8.419104556715546750e-02
9.999300000000003186e-01,8.434963944483563070e-02
9.999200000000003641e-01,8.450883932288608125e-02
9.999100000000004096e-01,8.466864894942013886e-02
9.999000000000004551e-01,8.482907079755069857e-02
9.998900000000005006e-01,8.499010914767882174e-02
9.998800000000005461e-01,8.515176737129694085e-02
9.998700000000005916e-01,8.531404804944840714e-02
9.998600000000006371e-01,8.547695554836913512e-02
9.998500000000006827e-01,8.564049290144397364e-02
9.998400000000007282e-01,8.580466363230820903e-02
9.998300000000007737e-01,8.596947181231281987e-02
9.998200000000008192e-01,8.613492052911743413e-02
9.998100000000008647e-01,8.630101335135778595e-02
9.998000000000009102e-01,8.646775388637886750e-02
9.997900000000009557e-01,8.663514578528262733e-02
9.997800000000010012e-01,8.680319321928250953e-02
9.997700000000010467e-01,8.697189928546265880e-02
9.997600000000010922e-01,8.714126764653756796e-02
9.997500000000011378e-01,8.731130258132116517e-02
9.997400000000011833e-01,8.748200661740872242e-02
9.997300000000012288e-01,8.765338467947339507e-02
9.997200000000012743e-01,8.782543993385509562e-02
9.997100000000013198e-01,8.799817681259869406e-02
9.997000000000013653e-01,8.817159787526211712e-02
9.996900000000014108e-01,8.834570828687851596e-02
9.996800000000014563e-01,8.852051131666481554e-02
9.996700000000015018e-01,8.869601156131541597e-02
9.996600000000015473e-01,8.887221168172239338e-02
9.996500000000015929e-01,8.904911701521441014e-02
9.996400000000016384e-01,8.922673097209497806e-02
9.996300000000016839e-01,8.940505762482323093e-02
9.996200000000017294e-01,8.958410180217421526e-02
9.996100000000017749e-01,8.976386690996802920e-02
9.996000000000018204e-01,8.994435713578735614e-02
9.995900000000018659e-01,9.012557665883891289e-02
9.995800000000019114e-01,9.030752964715019204e-02
9.995700000000019569e-01,9.049022109611733200e-02
9.995600000000020025e-01,9.067365450603544208e-02
9.995500000000020480e-01,9.085783407106141907e-02
9.995400000000020935e-01,9.104276495257868085e-02
9.995300000000021390e-01,9.122844979027673606e-02
9.995200000000021845e-01,9.141489450364356784e-02
9.995100000000022300e-01,9.160210270809264477e-02
9.995000000000022755e-01,9.179007973648381502e-02
9.994900000000023210e-01,9.197882817659433496e-02
9.994800000000023665e-01,9.216835440256453127e-02
9.994700000000024120e-01,9.235866197519564114e-02
9.994600000000024576e-01,9.254975553776541297e-02
9.994500000000025031e-01,9.274164061035287954e-02
9.994400000000025486e-01,9.293432087947062215e-02
