OMEGA,AMPL
9.699999999999999734e-01,2.018949978164192444e-02
9.700099999999999278e-01,2.019590394850858187e-02
9.700199999999998823e-01,2.020228254596536863e-02
9.700299999999998368e-01,2.020866635696322994e-02
9.700399999999997913e-01,2.021505527743246849e-02
9.700499999999997458e-01,2.022144918291473095e-02
9.700599999999997003e-01,2.022784835512021762e-02
9.700699999999996548e-01,2.023425259687967187e-02
9.700799999999996093e-01,2.024066191101250162e-02
9.700899999999995638e-01,2.024707625740278585e-02
9.700999999999995183e-01,2.025349587409428984e-02
9.701099999999994727e-01,2.025992055572230915e-02
9.701199999999994272e-01,2.026635051982055361e-02
9.701299999999993817e-01,2.027278554094595273e-02
9.701399999999993362e-01,2.027922571647064118e-02
9.701499999999992907e-01,2.028567093735750629e-02
9.701599999999992452e-01,2.029212152367216790e-02
9.701699999999991997e-01,2.029857721434507115e-02
9.701799999999991542e-01,2.030503802065501684e-02
9.701899999999991087e-01,2.031150422397497504e-02
9.701999999999990631e-01,2.031797554373664799e-02
9.702099999999990176e-01,2.032445208986360247e-02
9.702199999999989721e-01,2.033093378188688058e-02
9.702299999999989266e-01,2.033742084726833377e-02
9.702399999999988811e-01,2.034391306929907162e-02
9.702499999999988356e-01,2.035041066104426727e-02
9.702599999999987901e-01,2.035691340789325121e-02
9.702699999999987446e-01,2.036342134419281968e-02
9.702799999999986991e-01,2.036993448324568579e-02
9.702899999999986536e-01,2.037645296579182821e-02
9.702999999999986080e-01,2.038297667364147997e-02
9.703099999999985625e-01,2.038950559510026989e-02
9.703199999999985170e-01,2.039603969247660159e-02
9.703299999999984715e-01,2.040257918111986965e-02
9.703399999999984260e-01,2.040912394496931237e-02
9.703499999999983805e-01,2.041567412445710605e-02
9.703599999999983350e-01,2.042222952639251993e-02
9.703699999999982895e-01,2.042879020622873076e-02
9.703799999999982440e-01,2.043535618784193472e-02
9.703899999999981985e-01,2.044192761907416209e-02
9.703999999999981529e-01,2.044850436636554483e-02
9.704099999999981074e-01,2.045508642229872803e-02
9.704199999999980619e-01,2.046167374456827476e-02
9.704299999999980164e-01,2.046826653353464240e-02
9.704399999999979709e-01,2.047486466977912339e-02
9.704499999999979254e-01,2.048146827510265860e-02
9.704599999999978799e-01,2.048807715064688770e-02
9.704699999999978344e-01,2.049469134388699765e-02
9.704799999999977889e-01,2.050131087076245001e-02
9.704899999999977434e-01,2.050793588216594590e-02
9.704999999999976978e-01,2.051456623648746300e-02
9.705099999999976523e-01,2.052120193722219849e-02
9.705199999999976068e-01,2.052784294767705936e-02
9.705299999999975613e-01,2.053448948847757388e-02
9.705399999999975158e-01,2.054114144205370154e-02
9.705499999999974703e-01,2.054779890691113900e-02
9.705599999999974248e-01,2.055446162287135128e-02
9.705699999999973793e-01,2.056112990469602039e-02
9.705799999999973338e-01,2.056780381776543778e-02
9.705899999999972882e-01,2.057448293669804362e-02
9.705999999999972427e-01,2.058116767542067516e-02
9.706099999999971972e-01,2.058785800772635483e-02
9.706199999999971517e-01,2.059455358388110127e-02
9.706299999999971062e-01,2.060125480107269716e-02
9.706399999999970607e-01,2.060796140176967065e-02
9.706499999999970152e-01,2.061467345190585651e-02
9.706599999999969697e-01,2.062139108832323348e-02
9.706699999999969242e-01,2.062811418562552485e-02
9.706799999999968787e-01,2.063484275524997413e-02
9.706899999999968331e-01,2.064157694898900719e-02
9.706999999999967876e-01,2.064831660535021082e-02
9.707099999999967421e-01,2.065506171242233180e-02
9.707199999999966966e-01,2.066181231210603361e-02
9.707299999999966511e-01,2.066856857474796624e-02
9.707399999999966056e-01,2.067533035999486249e-02
9.707499999999965601e-01,2.068209787457360449e-02
9.707599999999965146e-01,2.068887070136617157e-02
9.707699999999964691e-01,2.069564928459976735e-02
9.707799999999964236e-01,2.070243344081570611e-02
